Treinador,Clube,Contratado/efetivado em,Tempo no cargo
Abel Braga,Fluminense,1 de dezembro de 2016,346 dias
Alberto Valentim (interino),Palmeiras,13 de outubro de 2017[200],30 dias
Claudinei Oliveira,Avaí,24 de agosto de 2016[183],1 ano e 80 dias
Dorival Júnior,São Paulo,5 de julho de 2017[189],130 dias
Eduardo Baptista,Ponte Preta,20 de setembro de 2017[198],53 dias
Fabiano Soares,Atlético Paranaense,11 de julho de 2017[190],124 dias
Fábio Carille,Corinthians,22 de dezembro de 2016[186],325 dias
Gilson Kleina,Chapecoense,16 de outubro de 2017[201],27 dias
Jair Ventura,Botafogo,13 de agosto de 2016[182],1 ano e 91 dias
João Paulo Sanches (interino),Atlético Goianiense,21 de julho de 2017[193],114 dias
Levir Culpi,Santos,6 de junho de 2017[188],159 dias
Mano Menezes,Cruzeiro,26 de julho de 2016[180][181],1 ano e 109 dias
Marcelo Oliveira,Coritiba,20 de julho de 2017[191],115 dias
Oswaldo de Oliveira,Atlético Mineiro,26 de setembro de 2017[199],47 dias
Preto Casagrande,Bahia,30 de agosto de 2017[197],74 dias
Reinaldo Rueda,Flamengo,7 de agosto de 2017[195],91 dias
Renato Gaúcho,Grêmio,18 de setembro de 2016[184][185],1 ano e 55 dias
Rogério Micale,Atlético Mineiro,21 de julho de 2017[192],114 dias
Vagner Mancini,Vitória,25 de julho de 2017[194],110 dias
Vanderlei Luxemburgo,Sport,30 de maio de 2017[187],166 dias
Zé Ricardo,Vasco da Gama,23 de agosto de 2017[196],81 dias
